UnixTime,Row,Segment,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight,Participant
1680003245.7412603,12089,BlankScreen1,2023-03-28 17:04:05.741260,1106.0,465.0,1115.0,524.0,-1.0,-1.0,100749.609,583.9773559570312,580.2077026367188,0.5859114527702332,0.4901654124259948,0.4261572957038879,0.4896056056022644,0.0,0.0,1
1680003245.7495706,12090,BlankScreen1,2023-03-28 17:04:05.749571,1115.0,469.0,1113.0,522.0,-1.0,-1.0,100757.91999999998,584.0311279296875,580.1687622070312,0.5860125422477722,0.4901663661003112,0.4262954890727996,0.4896481037139892,0.0,0.0,1
1680003245.7579336,12091,BlankScreen1,2023-03-28 17:04:05.757934,1117.0,514.0,1125.0,524.0,3.01678466796875,2.996734619140625,100766.28000000004,584.0965576171875,580.1203002929688,0.5860390663146972,0.4902452230453491,0.426173597574234,0.4896245300769805,0.0,0.0,1
1680003245.7664173,12092,BlankScreen1,2023-03-28 17:04:05.766417,1113.0,510.0,1127.0,515.0,-1.0,-1.0,100774.76300000004,584.0857543945312,579.9586181640625,0.5859138369560241,0.4902160763740539,0.4261630475521087,0.4896667599678039,0.0,0.0,1
1680003245.774636,12093,BlankScreen1,2023-03-28 17:04:05.774636,1120.0,504.0,1127.0,510.0,-1.0,-1.0,100782.98700000002,584.1798706054688,579.8871459960938,0.5861027240753173,0.4902947843074798,0.4263012111186981,0.4896957278251647,0.0,0.0,1
1680003245.7828872,12094,BlankScreen1,2023-03-28 17:04:05.782887,1103.0,501.0,1109.0,526.0,2.953475952148437,3.1549072265625,100791.235,584.3366088867188,579.8104248046875,0.5860381126403807,0.4902743995189666,0.4261899292469024,0.4896548390388488,0.0,0.0,1
1680003245.791287,12095,BlankScreen1,2023-03-28 17:04:05.791287,1103.0,507.0,1107.0,529.0,-1.0,-1.0,100799.637,584.3956298828125,579.6282348632812,0.5859105587005615,0.4902636408805847,0.4261883199214935,0.4896987378597259,0.0,0.0,1
1680003245.7996042,12096,BlankScreen1,2023-03-28 17:04:05.799604,1109.0,483.0,1108.0,537.0,-1.0,-1.0,100807.95299999998,584.5050048828125,579.541259765625,0.5860851407051086,0.4903032183647155,0.4263314008712768,0.4896994233131408,0.0,0.0,1
1680003245.8078792,12097,BlankScreen1,2023-03-28 17:04:05.807879,1109.0,493.0,1128.0,518.0,2.9138946533203125,3.0630340576171875,100816.227,584.65869140625,579.4769287109375,0.5860319733619689,0.4902532398700714,0.4262519478797912,0.4896705150604248,0.0,0.0,1
1680003245.8162105,12098,BlankScreen1,2023-03-28 17:04:05.816211,1121.0,487.0,1145.0,543.0,-1.0,-1.0,100824.56,584.6890869140625,579.3095703125,0.5859256982803344,0.4902315139770507,0.4262252748012542,0.4896342754364013,0.0,0.0,1
1680003245.8245418,12099,BlankScreen1,2023-03-28 17:04:05.824542,1136.0,484.0,1133.0,534.0,-1.0,-1.0,100832.892,584.7714233398438,579.26123046875,0.5861543416976928,0.4902605712413787,0.4263693392276763,0.4896172583103179,0.0,0.0,1
1680003245.8329198,12100,BlankScreen1,2023-03-28 17:04:05.832920,1143.0,460.0,1126.0,537.0,2.8230133056640625,3.016204833984375,100841.26900000004,584.8303833007812,579.2387084960938,0.5860334634780883,0.4900888800621032,0.4262939095497131,0.4895572364330291,0.0,0.0,1
1680003245.841218,12101,BlankScreen1,2023-03-28 17:04:05.841218,1137.0,469.0,1122.0,520.0,-1.0,-1.0,100849.56200000003,584.7366943359375,579.1242065429688,0.5859674215316772,0.4901487529277801,0.4262535870075225,0.4895581007003784,0.0,0.0,1
1680003245.8495884,12102,BlankScreen1,2023-03-28 17:04:05.849588,1124.0,481.0,1116.0,518.0,-1.0,-1.0,100857.939,584.6686401367188,579.1163940429688,0.5861543416976928,0.4901307821273803,0.4263889789581298,0.4894862174987793,0.0,0.0,1
1680003245.8579266,12103,BlankScreen1,2023-03-28 17:04:05.857927,1124.0,481.0,1129.0,528.0,2.987899780273437,2.976806640625,100866.272,584.5780029296875,579.12255859375,0.5861186981201171,0.4900896549224853,0.4263120889663696,0.4894562363624572,0.0,0.0,1
